Case Keenum,57,1546,2229,69.4,19217,155,46,160.6
Luke Falk,42,1403,2054,68.3,14481,119,39,142.8
Graham Harrell,45,1403,2010,69.8,15793,134,34,154.4
Timmy Chang,53,1388,2436,57,17072,117,80,125.1
Landry Jones,52,1388,2183,63.6,16646,123,52,141.5
Kliff Kingsbury,37,1204,1824,66,11931,91,39,133.1
Sean Mannion,46,1187,1838,64.6,13600,83,54,135.8
Corey Robinson,48,1179,1823,64.7,13477,81,48,136.2
Dan Lefevour,53,1171,1763,66.4,12905,102,36,142.9
Colt McCoy,53,1157,1645,70.3,13253,112,45,155
Kellen Moore,53,1157,1658,69.8,14667,142,28,169
Rakeem Cato,53,1153,1838,62.7,14079,131,44,145.8
Colt Brennan,38,1115,1584,70.4,14193,131,42,167.6
Chase Daniel,51,1094,1609,68,12515,101,41,148.9
Derek Carr,43,1087,1630,66.7,12843,113,24,152.8
Chase Holbrook,36,1087,1566,69.4,11846,85,41,145.6
Philip Rivers,49,1087,1711,63.5,13484,95,34,144.1
Zac Dysert,45,1066,1672,63.8,12013,73,51,132.4
Luke McCown,43,1063,1776,59.9,12666,87,62,128.9
Brent Stockstill,45,1054,1609,65.5,12483,106,35,148.1
Shane Carden,39,1052,1579,66.6,11991,86,30,144.6
Mason Fine,49,1039,1655,62.8,12505,93,34,140.7
Brett Rypien,50,1035,1617,64,13578,90,29,149.3
Keith Wenning,48,1035,1642,63,11402,92,42,134.7
Baker Mayfield,48,1026,1497,68.5,14607,131,30,175.4
Brandon Doughty,43,1023,1491,68.6,12855,111,34,161
Cooper Rush,50,1022,1648,62,12891,90,55,139.1
Connor Halliday,35,1014,1634,62.1,11308,90,50,132.2
Tim Hiller,44,1013,1607,63,11329,99,41,137.5
Matt Barkley,47,1001,1562,64.1,12327,116,48,148.7
Kenny Pickett,50,997,1603,62.2,11841,75,31,135.8
Clayton Thorson,53,991,1696,58.4,10731,61,45,118.1
Geno Smith,44,988,1465,67.4,11662,98,21,153.5
Curtis Painter,46,987,1648,59.9,11163,67,46,124.6
Jared Goff,37,977,1568,62.3,12195,96,30,144
Brandon Silvers,48,968,1503,64.4,10677,71,29,135.8
Tyler Sheehan,42,966,1494,64.7,10117,70,31,132.9
Kevin Kolb,50,964,1565,61.6,12964,85,31,145.1
Ryan Lindley,49,961,1732,55.5,12690,90,47,128.8
Jake Browning,53,958,1484,64.6,12296,94,34,150.5
Shane Buechele,46,952,1508,63.1,11660,87,32,142.9
Kolton Browning,46,951,1577,60.3,10263,81,38,127.1
Brock Purdy,46,949,1398,67.9,11704,78,32,152
Ryan Finley,46,938,1461,64.2,11147,63,30,138.4
Nick Foles,36,938,1403,66.9,10068,67,33,138.2
Austin Davis,47,933,1527,61.1,10892,83,27,135.4
Todd Reesing,41,932,1461,63.8,11194,90,33,144
Brady Quinn,48,929,1602,58,11762,95,39,134.4
Nick Mullens,44,928,1546,60,11994,87,46,137.8
Byron Leftwich,36,925,1418,65.2,11758,89,26,151.9
Sam Ehlinger,46,923,1476,62.5,11436,94,27,145
Aaron Murray,52,921,1478,62.3,13166,121,41,158.6
