Jonathan Taylor,41,926,6174,6.7,50,1
DeAngelo Williams,44,969,6026,6.2,55,1
Royce Freeman,51,947,5621,5.9,60,1
Cedric Benson,48,1112,5540,5.0,64,1
Justin Jackson,51,1142,5440,4.8,41,1
Myles Gaskin,52,945,5323,5.6,57,1
Damion Fletcher,50,1009,5302,5.3,44,0
Garrett Wolfe,33,807,5164,6.4,52,1
Montee Ball,49,924,5140,5.6,77,1
LaMichael James,37,771,5082,6.6,53,1
Michael Hart,43,1015,5040,5.0,41,0
Darren Sproles,45,815,4979,6.1,45,1
Dontrell Moore,48,1028,4973,4.8,51,0
Travis Etienne,55,686,4952,7.2,70,1
Kareem Hunt,44,782,4945,6.3,44,1
Michael Turner,45,940,4941,5.3,43,1
Ray Rice,38,910,4926,5.4,49,1
Melvin Gordon,43,631,4915,7.8,45,1
Jarvion Franklin,52,942,4867,5.2,52,0
Montel Harris,49,973,4789,4.9,39,0
Nick Chubb,47,758,4769,6.3,44,1
Kevin Smith,36,905,4679,5.2,45,1
Anthony Davis,40,908,4676,5.1,42,1
Robbie Rouse,49,898,4647,5.2,37,0
Tyrell Fenroy,46,808,4642,5.7,48,0
Darren McFadden,38,785,4590,5.8,41,1
Ameer Abdullah,53,813,4588,5.6,39,1
Vai Taua,41,711,4588,6.5,45,0
Keenan Reynolds,49,977,4559,4.7,88,1
Jahwan Edwards,48,884,4558,5.2,51,0
Larry Rose III,44,770,4558,5.9,37,0
Bobby Rainey,43,895,4542,5.1,35,0
Ito Smith,51,820,4538,5.5,42,1
Denard Robinson,48,722,4498,6.2,42,0
Kenneth Dixon,47,802,4483,5.6,72,1
Pat White,49,684,4480,6.5,47,0
Dalvin Cook,38,687,4464,6.5,46,1
J.K. Dobbins,42,725,4459,6.2,38,1
Johnathan Franklin,53,788,4403,5.6,31,1
Kalvin McRae,48,903,4398,4.9,45,0
Javon Ringer,45,843,4398,5.2,34,1
AJ Dillon,35,845,4382,5.2,38,1
Mewelde Moore,44,910,4364,4.8,21,1
Malcolm Perry,41,614,4359,7.1,40,1
Jordan Lynch,50,662,4343,6.6,48,0
Noel Devine,51,729,4317,5.9,29,0
Elijah McGuire,51,710,4301,6.1,42,1
Stepfan Taylor,52,843,4300,5.1,40,1
Brad Smith,48,799,4289,5.4,45,0
Brian Hill,37,775,4287,5.5,35,1
Devin Singletary,38,714,4287,6.0,66,1
Matt Forte,43,833,4265,5.1,39,1
Ka'Deem Carey,36,743,4239,5.7,48,0
Lance Dunbar,41,782,4224,5.4,41,0
Shock Linwood,48,713,4213,5.9,36,0
Charles Williams,51,799,4196,5.3,34,0
Zach Line,50,778,4185,5.4,47,0
Ian Johnson,49,752,4184,5.6,58,0
Kendall Hunter,46,708,4181,5.9,37,1
Ralph Webb,49,931,4178,4.5,32,0
Lamar Jackson,38,655,4132,6.3,50,0
Rodney Smith,53,879,4125,4.7,29,0
Samaje Perine,36,685,4122,6.0,49,1
Aaron Jones,35,658,4114,6.3,33,1
Colin Kaepernick,51,600,4112,6.9,59,0
Ray Lawry,43,659,4080,6.2,45,0
Zack Moss,45,712,4067,5.7,38,1
Patrick Cobbs,48,818,4050,5.0,36,0
Branden Oliver,41,866,4049,4.7,33,0
Chris Polk,40,799,4049,5.1,26,0
Adrian Peterson,31,747,4045,5.4,41,1
Chris Barclay,46,840,4032,4.8,40,0
James White,52,643,4015,6.2,45,1
Spencer Brown,47,858,4011,4.7,41,0
Anthony Dixon,48,910,3994,4.4,42,1
Ezekiel Elliott,35,592,3961,6.7,43,1
P.J. Hill,37,770,3942,5.1,42,0
Breece Hall,36,718,3941,5.5,50,0
Reggie Arnold,48,737,3933,5.3,32,0
Laurence Maroney,36,660,3933,6.0,32,1
Evan Royster,49,686,3932,5.7,29,1
Sincere McCormick,36,725,3929,5.4,34,0
Steve Slaton,35,664,3923,5.9,50,1
Christian McCaffrey,37,632,3922,6.2,21,1
D'Angelo Brewer,45,753,3917,5.2,23,0
Bryant Koback,43,661,3907,5.9,45,0
Avon Cobourne,33,799,3901,4.9,32,0
Jamaal Williams,43,726,3901,5.4,35,1
Tyrell Sutton,39,731,3886,5.3,31,0
Jaret Patterson,33,636,3884,6.1,52,0
James Davis,50,753,3881,5.2,47,1
Jacquizz Rodgers,36,788,3877,4.9,46,1
Benjamin Snell Jr.,39,737,3873,5.3,48,0
BenJarvus Green-Ellis,47,920,3869,4.2,25,0
Marcus Merriweather,32,825,3866,4.7,32,0
Bryce Love,49,569,3865,6.8,30,1
Yvenson Bernard,41,876,3862,4.4,38,0
Marcus Cox,33,656,3858,5.9,37,0
Travis Greene,41,682,3851,5.6,38,0
Saquon Barkley,38,671,3843,5.7,43,1
Najee Harris,51,638,3843,6.0,46,1
Carnell Williams,42,741,3831,5.2,45,0
Leonard Fournette,32,616,3830,6.2,40,1
A.J. Ouellette,50,719,3829,5.3,32,0
Donald Brown,36,698,3800,5.4,33,1
Jay Ajayi,38,678,3796,5.6,50,1
Chance Kretschmer,36,750,3782,5.0,35,0
Phillip Lindsay,51,765,3775,4.9,36,0
Miquale Lewis,47,761,3748,4.9,31,0
Matt Breida,37,542,3740,6.9,37,0
Andre Williams,43,704,3739,5.3,28,1
James Conner,39,668,3733,5.6,52,1
Tim Cornett,50,769,3733,4.9,35,0
Brock Forsey,35,738,3732,5.1,48,1
Derrick Knight,41,708,3725,5.3,25,0
LeVante Bellamy,48,617,3720,6.0,35,0
Eugene Jarvis,38,724,3720,5.1,26,0
Larry Rountree III,48,746,3720,5.0,40,0
James Butler,47,699,3712,5.3,28,0
Alex Collins,38,665,3703,5.6,36,1
Demarco Murray,50,759,3685,4.9,50,0
Jordan Howard,32,647,3681,5.7,24,1
Antonio Andrews,41,618,3674,5.9,29,0
Quinton Flowers,43,598,3672,6.1,41,0
Brandon West,49,732,3671,5.0,25,0
Joshua Cribbs,43,632,3670,5.8,38,0
Chris Perry,45,794,3657,4.6,39,1
Rashaad Penny,51,488,3656,7.5,38,1
Tarrion Adams,50,623,3651,5.9,32,0
Marquis Young,47,687,3631,5.3,29,0
Steven Jackson,35,743,3625,4.9,39,1
Kenjon Barner,49,582,3623,6.2,41,1
Shamari Brooks,44,767,3622,4.7,29,0
Ronald Jones,40,591,3619,6.1,39,0
Trayveon Williams,38,600,3615,6.0,34,1
Sony Michel,47,590,3613,6.1,33,1
Marlon Mack,36,586,3609,6.2,32,1
Nick Fitzgerald,44,601,3607,6.0,46,0
Terry Swanson,49,614,3601,5.9,31,0
Rodney Stewart,43,809,3598,4.4,25,0
Asher Clark,49,628,3594,5.7,24,0
James Sims,44,798,3592,4.5,34,0
Derrick Henry,39,602,3591,6.0,42,1
Trey Ragas,49,596,3572,6.0,38,0
Jalin Moore,40,582,3570,6.1,33,0
Bernard Pierce,33,663,3570,5.4,53,1
Rodney Ferguson,40,778,3564,4.6,34,0
Lexington Thomas,46,631,3555,5.6,40,0
C.J. Spiller,52,606,3547,5.9,32,1
Darrell Henderson,38,431,3545,8.2,36,1
James Gilbert,49,744,3543,4.8,36,0
Justice Hill,36,632,3539,5.6,30,1
Carlton Jones,45,832,3535,4.2,33,0
Alfred Morris,44,732,3529,4.8,27,1
Toby Gerhart,38,671,3522,5.2,44,1
Duke Johnson,33,526,3519,6.7,26,1
Trey Watts,48,673,3515,5.2,18,0
Bishop Sankey,36,644,3496,5.4,37,1
Jamario Thomas,40,667,3496,5.2,27,0
Paul Perkins,39,621,3488,5.6,29,1
