Name,Receptions,Receiving Yards,Receiving TD,Overall
Greg Olsen,71,924,5,31
Zach Miller,88,960,8,38
Matt Spaeth,73,897,8,77
Scott Chandler,93,1143,8,129
Martrez Milner,44,717,5,133
Brent Celek,67,842,6,162
Tyler Ecker,33,440,4,216
Derek Schouman,46,453,5,222
Clark Harris,72,1077,6,243
Dustin Keller,124,1652,11,30
John Carlson,87,1006,7,38
Fred Davis,100,1233,11,48
Martellus Bennett,87,1084,7,61
Brad Cottam,19,307,1,76
Craig Stevens,34,443,4,85
Jermichael Finley,76,947,5,91
Martin Rucker,137,1345,13,111
Jacob Tamme,88,1005,8,127
Derek Fine,74,749,9,132
Gary Barnidge,84,1166,11,141
Kellen Davis,44,638,7,158
Tom Santi,65,671,4,196
Keith Zinger,3,51,0,232
Brandon Pettigrew,77,1012,4,20
Richard Quinn,12,124,2,64
Jared Cook,67,994,6,89
Chase Coffman,142,1518,17,98
Travis Beckum,98,1246,6,100
Anthony Hill,19,234,4,122
James Casey,157,1914,17,152
Cornelius Ingram,34,508,7,153
Bear Pascoe,85,953,8,184
Brandon Myers,55,649,9,202
John Phillips,65,578,4,208
Jake O'Connell,35,358,1,237
David Johnson,32,560,8,241
Cameron Morrah,40,481,9,248
Dan Gronkowski,36,353,3,255
Jermaine Gresham,66,950,14,21
Rob Gronkowski,47,672,10,42
Ed Dickson,77,1059,9,70
Tony Moeaki,43,531,5,93
Jimmy Graham,17,213,5,95
Aaron Hernandez,102,1231,10,113
Dennis Pitta,145,1912,14,114
Garrett Graham,91,1164,12,118
Andrew Quarless,52,653,4,154
Brody Eldridge,6,43,1,162
Fendi Onobun,2,33,1,170
Dennis Morris,45,781,13,174
Anthony McCoy,44,713,2,185
Dorin Dickerson,62,703,12,227
Jim Dray,13,161,5,233
Dedrick Epps,41,551,5,235
Kyle Rudolph,61,692,6,43
Lance Kendricks,72,1019,8,47
Jordan Cameron,16,126,1,102
Luke Stocker,68,806,7,104
D.J. Williams,86,1038,7,141
Lee Smith,61,693,3,159
Richard Gordon,6,30,0,181
Virgil Green,58,775,10,204
Ryan Taylor,36,330,2,218
Daniel Hardy,71,1236,4,238
Coby Fleener,62,1101,17,34
Dwayne Allen,83,971,9,64
Michael Egnew,140,1285,8,78
Ladarius Green,95,1400,15,110
Evan Rodriguez,55,723,4,111
Orson Charles,71,996,7,116
Adrien Robinson,18,248,4,127
James Hanna,45,673,9,186
David Paulson,55,856,10,240
Brad Smelley,40,411,4,247
Tyler Eifert,113,1488,9,21
Zach Ertz,96,1244,10,35
Gavin Escobar,93,1323,13,47
Vance McDonald,79,990,7,55
Travis Kelce,58,872,10,63
Jordan Reed,73,866,5,85
Dion Sims,48,574,5,106
Levine Toilolo,49,736,10,133
Luke Willson,38,439,5,158
Nick Kasa,26,399,3,172
Mychal Rivera,65,906,6,184
Ryan Griffin,62,983,9,201
Michael Williams,40,374,6,211
D.C. Jefferson,32,286,1,219
Chris Gragg,63,807,5,222
Justice Cunningham,41,466,1,254
Eric Ebron,102,1598,7,10
Austin Seferian-Jenkins,105,1302,15,38
Jace Amaro,131,1761,11,49
Troy Niklas,37,573,6,52
C.J. Fiedorowicz,75,732,7,65
Richard Rodgers,59,896,2,98
Crockett Gillmore,66,840,4,99
Arthur Lynch,54,890,8,155
Ted Bolser,76,765,9,217
Rob Blanchflower,70,777,5,230
Maxx Williams,61,986,13,55
Clive Walford,78,1130,9,68
Tyler Kroft,67,842,4,85
Jeff Heuerman,43,673,6,92
Blake Bell,16,214,4,117
C.J. Uzomah,22,299,6,157
Jesse James,63,729,6,160
Nick O'Leary,81,1175,13,194
Malcolm Johnson,58,771,5,195
Randall Telfer,27,275,3,198
Kennard Backman,67,701,5,213
Ben Koyack,40,488,5,229
Geoff Swaim,13,84,1,246
Rory Anderson,39,495,1,254
Gerald Christian,60,810,9,256
Hunter Henry,88,1252,5,35
Austin Hooper,74,937,8,81
Nick Vannett,38,382,5,94
Tyler Higbee,53,793,12,110
Jerell Adams,49,700,4,184
