Name,Receptions,Receiving Yards,Receiving TD,Overall
Calvin Johnson,130,2090,21,2
Dwayne Bowe,106,1698,21,23
Robert Meachem,100,1681,13,27
Anthony Gonzalez,79,1107,11,32
Sidney Rice,142,2233,23,44
Dwayne Jarrett,150,2089,27,45
Steve Smith,128,1987,12,51
Yamon Figurs,42,661,4,74
Jason Hill,92,1567,19,76
James Jones,100,1171,11,78
Mike Walker,154,2033,16,79
Paul Williams,59,836,7,80
Ryne Robinson,166,2297,16,118
Chris Davis,88,1234,8,128
Steve Breaston,84,961,4,142
Aundrae Allison,83,1024,7,146
David Clowney,68,1043,3,157
Roy Hall,29,281,2,169
Legedu Naanee,69,1024,12,172
Joel Filani,156,2348,21,188
Courtney Taylor,75,965,3,197
Jordan Kent,46,537,4,210
Dallas Baker,112,1617,15,227
John Broussard,78,1205,12,229
Syndric Steptoe,92,1061,3,234
Chansi Stuckey,114,1470,7,235
Donnie Avery,148,2308,12,33
Devin Thomas,85,1350,9,34
Jordy Nelson,161,2153,12,36
James Hardy,127,1694,24,41
Eddie Royal,64,993,7,42
DeSean Jackson,124,1822,15,49
Malcolm Kelly,111,1814,19,51
Limas Sweed,65,1107,15,53
Earl Bennett,157,1975,11,70
Early Doucet,116,1297,13,81
Harry Douglas,141,2424,13,84
Mario Manningham,110,1877,21,95
Will Franklin,97,1538,10,105
Marcus Smith,144,1984,13,106
Lavelle Hawkins,118,1577,11,126
Keenan Burton,143,1777,21,128
Kenneth Moore,130,1325,6,136
Marcus Henry,79,1330,13,171
Josh Morgan,79,1000,9,174
Kevin Robinson,91,1222,10,182
Paul Hubbard,52,932,5,191
Justin Harper,62,959,6,215
Brett Swain,105,1501,7,217
Chaz Schilens,69,1162,5,226
Adrian Arrington,107,1426,16,237
Mario Urrutia,93,1474,9,246
Marcus Monk,66,1107,14,248
Darrius Heyward-Bey,93,1395,8,7
Michael Crabtree,216,2939,39,10
Jeremy Maclin,182,2315,22,19
Percy Harvin,99,1502,11,22
Hakeem Nicks,142,2180,17,29
Kenny Britt,149,2603,15,30
Brian Robiskie,97,1470,19,36
Mohamed Massaquoi,90,1411,12,50
Derrick Williams,99,1014,7,82
Brandon Tate,41,855,8,83
Mike Wallace,77,1500,13,84
Patrick Turner,97,1310,13,87
